Any,ERA,Codi municipi IDESCAT,Municipi,Codi comarca IDESCAT,Comarca,Entitat gestora  1,Entitat gestora  2,Ús 1,Ús 2,Ús 3,Ús 4,Ús 5,Cabal disseny m3/dia,Posada en servei,Tractament 1,Tractament 2,Tractament 3,Tractament 4,Tractament 5,Tractament 6,Tractament 7,Volum aigua reutilitzada Ús agrícola (m3),Volum aigua reutilitzada Ús ambiental (m3),"Volum aigua reutilitzada Ús urbà 
(m3)",Volum aigua reutilitzada Ús recreatiu (m3),Volum aigua reutilitzada Ús industrial (m3),Volum total aigua reutilitzada (m3)
2022,GAVÀ/VILADECANS,080898,Gavà,11,Baix Llobregat,Àrea Metropolitana de Barcelona,,Agrícola,,,,,43000,2006,MBR,Cl,,,,,,4675627,0,0,0,0,4675627
2022,GRANOLLERS,080961,Granollers,41,Vallès Oriental,Ajuntament de Granollers,,Ambiental,Municipal,,,,200,2012,Aiguamolls construïts,Filtració,Cl,,,,,0,103153,17651,0,0,120804
2022,"PRAT DE LLOBREGAT, EL",081691,"Prat de Llobregat, el",11,Baix Llobregat,Àrea Metropolitana de Barcelona,,Agrícola,Ambiental,Industrial,,,302400,2005,FQ,Filtració,UV,UF,OI,Cl,,146880,43423652,0,0,3098898,48290533
2022,SABADELL/RIU SEC,081878,Sabadell,40,Vallès Occidental,Ajuntament de Sabadell,,Municipal,,,,,4000,2011,MBR,UV,Cl,,,,,0,0,26864,0,0,26864
2022,SANT FELIU DE LLOBREGAT,082114,Sant Feliu de Llobregat,11,Baix Llobregat,Àrea Metropolitana de Barcelona,,Agrícola,Recreatiu,,,,72000,2005,Filtració,Cl,,,,,,292992,0,0,139064,0,432056
2022,BLANES,170237,Blanes,34,Selva,Consorci d'Aigües Costa Brava Girona,,Ambiental,,,,,15000,2002,FQ (Coag-Floc-Decant),Filtració,UV,Cl,,,,0,0,0,0,0,0
2022,CADAQUÉS,170329,Cadaqués,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Industrial,,,,,600,2001,FQ (Caog-Floc),Filtració,UV,Cl,,,,0,0,0,0,9794,9794
2022,EMPURIABRAVA,170470,Castelló d'Empúries,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Ambiental,Recreatiu,,,,8750,1998,Aiguamolls construïts,,,,,,,0,742455,0,6420,0,748875
2022,CASTELL-PLATJA D'ARO,170486,Castell-Platja d'Aro,10,Baix Empordà,Consorci d'Aigües Costa Brava Girona,,Agrícola,Municipal,Recreatiu,,,14400,1998,Coagulació,Filtració,UV,Cl,,,,237197,0,257,554518,0,791972
2022,COLERA,170545,Colera,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Agrícola,Industrial,,,,360,2001,FQ (Coag-Floc),Filtració,UV,Cl,,,,5522,0,0,0,2053,7575
2022,"ESCALA, L'",170622,"Escala, l'",02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Ambiental,,,,,6000,2014,FQ (Coag-Floc),Filtració,UV,Cl,,,,0,763146,0,0,0,763146
2022,LLANÇÀ,170926,Llançà,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Ambiental,Municipal,Industrial,,,600,2008,FQ (Coag-Floc),Filtració,UV,Cl,,,,0,10418,15,0,10892,21325
2022,LLORET DE MAR,170950,Lloret de mar,34,Selva,Consorci d'Aigües Costa Brava Girona,,Agrícola,Municipal,Recreatiu,,,4992,2008,FQ (Coag-Floc-Decant),Filtració,UV,Cl,,,,5367,0,18815,37966,0,62148
2022,PALS,171241,Pals,10,Baix Empordà,Consorci d'Aigües Costa Brava Girona,,Municipal,Recreatiu,,,,6000,2000,Cl,,,,,,,0,0,264,398420,0,398684
2022,PORTBOU,171387,Portbou,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Municipal,Industrial,,,,360,2002,FQ (Coag-Floc),Filtració,UV,Cl,,,,0,0,6487,0,3254,9741
2022,"PORT DE LA SELVA, EL",171404,"Port de la Selva, el",02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Ambiental,Municipal,Industrial,,,600,2001,FQ (Coag-Floc),Filtració,UV,Cl,,,,0,17328,879,0,2578,20785
2022,ROSES,171523,Roses,02,Alt Empordà,Consorci d'Aigües Costa Brava Girona,,Agrícola,Municipal,Industrial,,,600,2008,FQ (Coag-Floc),Filtració,UV,Cl,,,,1110,0,1435,0,8207,10752
